yr,dur_int,pc
2008,0,0.0432960893854749
2008,1,0.032122905027933
2008,2,0.0405027932960894
2008,3,0.0349162011173184
2008,4,0.0418994413407821
2008,5,0.0516759776536313
2008,6,0.0572625698324022
2008,7,0.0572625698324022
2008,8,0.0544692737430168
2008,9,0.0600558659217877
2008,10,0.0614525139664804
2008,11,0.0516759776536313
2008,12,0.0670391061452514
2008,13,0.058659217877095
2008,14,0.0307262569832402
2008,15,0.0293296089385475
2008,16,0.0181564245810056
2008,17,0.0167597765363129
2008,18,0.0209497206703911
2008,19,0.0223463687150838
2008,20,0.0167597765363129
2008,21,0.0167597765363129
2008,22,0.00837988826815642
2008,23,0.0153631284916201
2008,24,0.0153631284916201
2008,25,0.0139664804469274
2008,26,0.0195530726256983
2008,27,0.00977653631284916
2008,28,0.0139664804469274
2008,29,0.00698324022346369
2008,30,0.00139664804469274
2008,31,0.00279329608938548
2008,32,0.00279329608938548
2008,33,0
2008,34,0.00279329608938548
2008,35,0.00139664804469274
2008,36,0
2008,37,0.00139664804469274
2008,38,0
2008,39,0
2008,40,0
2009,0,0.0319829424307036
2009,1,0.0710732054015636
2009,2,0.0611229566453447
2009,3,0.0490405117270789
2009,4,0.054726368159204
2009,5,0.0582800284292822
2009,6,0.054726368159204
2009,7,0.0611229566453447
2009,8,0.0639658848614073
2009,9,0.0540156361051883
2009,10,0.0554371002132196
2009,11,0.0554371002132196
2009,12,0.0540156361051883
2009,13,0.0490405117270789
2009,14,0.031272210376688
2009,15,0.0362473347547974
2009,16,0.0213219616204691
2009,17,0.0177683013503909
2009,18,0.0170575692963753
2009,19,0.0106609808102345
2009,20,0.0163468372423596
2009,21,0.00710732054015636
2009,22,0.00639658848614073
2009,23,0.00568585643212509
2009,24,0.007818052594172
2009,25,0.00923951670220327
2009,26,0.0099502487562189
2009,27,0.00710732054015636
2009,28,0.00426439232409382
2009,29,0.00497512437810945
2009,30,0.00142146410803127
2009,31,0.00142146410803127
2009,32,0.00213219616204691
2009,33,0.00355366027007818
2009,34,0.000710732054015636
2009,35,0.00142146410803127
2009,36,0
2009,37,0
2009,38,0
2009,39,0
2009,40,0.000710732054015636
2010,0,0.0345388053636733
2010,1,0.0589191385615604
2010,2,0.0528240552620886
2010,3,0.0459162941893539
2010,4,0.0394148720032507
2010,5,0.0483543275091426
2010,6,0.0491670052824055
2010,7,0.0503860219422999
2010,8,0.0524177163754571
2010,9,0.0524177163754571
2010,10,0.05323039414872
2010,11,0.0483543275091426
2010,12,0.0564811052417716
2010,13,0.0446972775294596
2010,14,0.0442909386428281
2010,15,0.0349451442503048
2010,16,0.0426655830963023
2010,17,0.0219422998780983
2010,18,0.0211296221048354
2010,19,0.0203169443315725
2010,20,0.0101584721657863
2010,21,0.0178789110117838
2010,22,0.0121901665989435
2010,23,0.0113774888256806
2010,24,0.0105648110524177
2010,25,0.0154408776919951
2010,26,0.00853311661926046
2010,27,0.0121901665989435
2010,28,0.00690776107273466
2010,29,0.00609508329947176
2010,30,0.00406338886631451
2010,31,0.0024380333197887
2010,32,0.00203169443315725
2010,33,0.0016253555465258
2010,34,0.0024380333197887
2010,35,0.00121901665989435
2010,36,0.000406338886631451
2010,37,0
2010,38,0
2010,39,0
2010,40,0.0016253555465258
2011,0,0.0306004618937644
2011,1,0.029445727482679
2011,2,0.0536951501154734
2011,3,0.0415704387990762
2011,4,0.0433025404157044
2011,5,0.0531177829099307
2011,6,0.0450346420323326
2011,7,0.0386836027713626
2011,8,0.0502309468822171
2011,9,0.0381062355658199
2011,10,0.0565819861431871
2011,11,0.0513856812933025
2011,12,0.0565819861431871
2011,13,0.0646651270207852
2011,14,0.0490762124711316
2011,15,0.0415704387990762
2011,16,0.0375288683602771
2011,17,0.0277136258660508
2011,18,0.0254041570438799
2011,19,0.0265588914549654
2011,20,0.0184757505773672
2011,21,0.0213625866050808
2011,22,0.0155889145496536
2011,23,0.0150115473441109
2011,24,0.00866050808314088
2011,25,0.00981524249422633
2011,26,0.0092378752886836
2011,27,0.0092378752886836
2011,28,0.0092378752886836
2011,29,0.0069284064665127
2011,30,0.0023094688221709
2011,31,0.00288683602771363
2011,32,0.00404157043879908
2011,33,0.00115473441108545
2011,34,0.00288683602771363
2011,35,0
2011,36,0.00115473441108545
2011,37,0.000577367205542725
2011,38,0
2011,39,0
2011,40,0
2012,0,0.0327868852459016
2012,1,0.0327868852459016
2012,2,0.0655737704918033
2012,3,0.0327868852459016
2012,4,0.0163934426229508
2012,5,0.0327868852459016
2012,6,0.0655737704918033
2012,7,0.0655737704918033
2012,8,0.0163934426229508
2012,9,0.0163934426229508
2012,10,0.0491803278688525
2012,11,0.0327868852459016
2012,12,0.131147540983607
2012,13,0.0655737704918033
2012,14,0.0655737704918033
2012,15,0.0491803278688525
2012,16,0.0819672131147541
2012,17,0.0327868852459016
2012,18,0.0327868852459016
2012,19,0
2012,20,0
2012,21,0.0327868852459016
2012,22,0.0163934426229508
2012,23,0
2012,24,0
2012,25,0
2012,26,0
2012,27,0.0163934426229508
2012,28,0.0163934426229508
2012,29,0
2012,30,0
2012,31,0
2012,32,0
2012,33,0
2012,34,0
2012,35,0
2012,36,0
2012,37,0
2012,38,0
2012,39,0
2012,40,0
2013,0,0.018993839835729
2013,1,0.0338809034907598
2013,2,0.034394250513347
2013,3,0.0364476386036961
2013,4,0.0302874743326489
2013,5,0.0456878850102669
2013,6,0.0338809034907598
2013,7,0.0349075975359343
2013,8,0.0426078028747433
2013,9,0.0395277207392197
2013,10,0.047741273100616
2013,11,0.0462012320328542
2013,12,0.0487679671457906
2013,13,0.0544147843942505
2013,14,0.0503080082135524
2013,15,0.0487679671457906
2013,16,0.0446611909650924
2013,17,0.0354209445585216
2013,18,0.034394250513347
2013,19,0.0256673511293634
2013,20,0.0215605749486653
2013,21,0.0184804928131417
2013,22,0.026694045174538
2013,23,0.0159137577002053
2013,24,0.0282340862422998
2013,25,0.0174537987679671
2013,26,0.0164271047227926
2013,27,0.0123203285420945
2013,28,0.00924024640657084
2013,29,0.0128336755646817
2013,30,0.00718685831622177
2013,31,0.00770020533880904
2013,32,0.0066735112936345
2013,33,0.00308008213552361
2013,34,0.00359342915811088
2013,35,0.000513347022587269
2013,36,0.00154004106776181
2013,37,0.000513347022587269
2013,38,0.00154004106776181
2013,39,0.000513347022587269
2013,40,0
2014,0,0.0476190476190476
2014,1,0.119047619047619
2014,2,0.0238095238095238
2014,3,0.0476190476190476
2014,4,0.0476190476190476
2014,5,0.0238095238095238
2014,6,0.0714285714285714
2014,7,0.142857142857143
2014,8,0.0238095238095238
2014,9,0.0476190476190476
2014,10,0.0952380952380952
2014,11,0.0714285714285714
2014,12,0.0476190476190476
2014,13,0
2014,14,0.0238095238095238
2014,15,0.0476190476190476
2014,16,0.0238095238095238
2014,17,0.0238095238095238
2014,18,0.0238095238095238
2014,19,0
2014,20,0
2014,21,0
2014,22,0
2014,23,0.0238095238095238
2014,24,0.0238095238095238
2014,25,0
2014,26,0
2014,27,0
2014,28,0
2014,29,0
2014,30,0
2014,31,0
2014,32,0
2014,33,0
2014,34,0
2014,35,0
2014,36,0
2014,37,0
2014,38,0
2014,39,0
2014,40,0
2015,0,0.0125060125060125
2015,1,0.0254930254930255
2015,2,0.0283790283790284
2015,3,0.0327080327080327
2015,4,0.0317460317460317
2015,5,0.0336700336700337
2015,6,0.0346320346320346
2015,7,0.0365560365560366
2015,8,0.0341510341510342
2015,9,0.0442520442520443
2015,10,0.0466570466570467
2015,11,0.0375180375180375
2015,12,0.05002405002405
2015,13,0.0452140452140452
2015,14,0.05002405002405
2015,15,0.05002405002405
2015,16,0.0413660413660414
2015,17,0.0432900432900433
2015,18,0.0404040404040404
2015,19,0.0432900432900433
2015,20,0.0360750360750361
2015,21,0.0293410293410293
2015,22,0.0230880230880231
2015,23,0.0216450216450216
2015,24,0.0153920153920154
2015,25,0.0153920153920154
2015,26,0.012987012987013
2015,27,0.0105820105820106
2015,28,0.0125060125060125
2015,29,0.00577200577200577
2015,30,0.0105820105820106
2015,31,0.00913900913900914
2015,32,0.00817700817700818
2015,33,0.00577200577200577
2015,34,0.00529100529100529
2015,35,0.00673400673400673
2015,36,0.00288600288600289
2015,37,0.00288600288600289
2015,38,0.000962000962000962
2015,39,0.000962000962000962
2015,40,0
2016,0,0
2016,1,0.0110497237569061
2016,2,0.0386740331491713
2016,3,0.0220994475138122
2016,4,0.0276243093922652
2016,5,0.0331491712707182
2016,6,0.0607734806629834
2016,7,0.0386740331491713
2016,8,0.0718232044198895
2016,9,0.0552486187845304
2016,10,0.0441988950276243
2016,11,0.0441988950276243
2016,12,0.0773480662983425
2016,13,0.0331491712707182
2016,14,0.0276243093922652
2016,15,0.0386740331491713
2016,16,0.0441988950276243
2016,17,0.0497237569060774
2016,18,0.0331491712707182
2016,19,0.0773480662983425
2016,20,0.0386740331491713
2016,21,0.0441988950276243
2016,22,0.0331491712707182
2016,23,0.0220994475138122
2016,24,0
2016,25,0
2016,26,0
2016,27,0.0165745856353591
2016,28,0
2016,29,0.00552486187845304
2016,30,0.00552486187845304
2016,31,0
2016,32,0.00552486187845304
2016,33,0
2016,34,0
2016,35,0
2016,36,0
2016,37,0
2016,38,0
2016,39,0
2016,40,0
2017,0,0.0219638242894057
2017,1,0.0155038759689922
2017,2,0.0193798449612403
2017,3,0.020671834625323
2017,4,0.0155038759689922
2017,5,0.0155038759689922
2017,6,0.0193798449612403
2017,7,0.0284237726098191
2017,8,0.0284237726098191
2017,9,0.0284237726098191
2017,10,0.0335917312661499
2017,11,0.0271317829457364
2017,12,0.041343669250646
2017,13,0.0232558139534884
2017,14,0.0387596899224806
2017,15,0.0387596899224806
2017,16,0.0426356589147287
2017,17,0.0516795865633075
2017,18,0.0478036175710594
2017,19,0.0490956072351421
2017,20,0.0503875968992248
2017,21,0.0478036175710594
2017,22,0.0387596899224806
2017,23,0.0374677002583979
2017,24,0.0167958656330749
2017,25,0.0322997416020672
2017,26,0.0284237726098191
2017,27,0.0129198966408269
2017,28,0.0193798449612403
2017,29,0.0129198966408269
2017,30,0.0116279069767442
2017,31,0.020671834625323
