yr,dur_int,pc
2008,0,0.0435393258426966
2008,1,0.0323033707865169
2008,2,0.0407303370786517
2008,3,0.0351123595505618
2008,4,0.0421348314606742
2008,5,0.0519662921348315
2008,6,0.0575842696629214
2008,7,0.0575842696629214
2008,8,0.0547752808988764
2008,9,0.0603932584269663
2008,10,0.0603932584269663
2008,11,0.0519662921348315
2008,12,0.0674157303370787
2008,13,0.0575842696629214
2008,14,0.0308988764044944
2008,15,0.0294943820224719
2008,16,0.0168539325842697
2008,17,0.0168539325842697
2008,18,0.0210674157303371
2008,19,0.0224719101123596
2008,20,0.0168539325842697
2008,21,0.0168539325842697
2008,22,0.00842696629213483
2008,23,0.0154494382022472
2008,24,0.0154494382022472
2008,25,0.0140449438202247
2008,26,0.0182584269662921
2008,27,0.0098314606741573
2008,28,0.0140449438202247
2008,29,0.00702247191011236
2008,30,0.00140449438202247
2008,31,0.00280898876404494
2008,32,0.00280898876404494
2008,33,0
2008,34,0.00280898876404494
2008,35,0.00140449438202247
2008,36,0
2008,37,0.00140449438202247
2008,38,0
2008,39,0
2008,40,0
2009,0,0.0321888412017167
2009,1,0.0715307582260372
2009,2,0.061516452074392
2009,3,0.0493562231759657
2009,4,0.0543633762517883
2009,5,0.0579399141630901
2009,6,0.0543633762517883
2009,7,0.0608011444921316
2009,8,0.0643776824034335
2009,9,0.0536480686695279
2009,10,0.055793991416309
2009,11,0.0550786838340486
2009,12,0.0543633762517883
2009,13,0.0493562231759657
2009,14,0.0314735336194564
2009,15,0.0350500715307582
2009,16,0.0207439198855508
2009,17,0.0178826895565093
2009,18,0.0171673819742489
2009,19,0.0107296137339056
2009,20,0.0164520743919886
2009,21,0.00715307582260372
2009,22,0.00643776824034335
2009,23,0.00572246065808298
2009,24,0.00786838340486409
2009,25,0.00929899856938484
2009,26,0.0100143061516452
2009,27,0.00715307582260372
2009,28,0.00429184549356223
2009,29,0.0050071530758226
2009,30,0.00143061516452074
2009,31,0.00143061516452074
2009,32,0.00214592274678112
2009,33,0.00357653791130186
2009,34,0.000715307582260372
2009,35,0.00143061516452074
2009,36,0
2009,37,0
2009,38,0
2009,39,0
2009,40,0.000715307582260372
2010,0,0.0346373268133659
2010,1,0.0590872045639772
2010,2,0.0529747351263244
2010,3,0.0460472697636512
2010,4,0.0395273023634882
2010,5,0.0484922575387123
2010,6,0.0493072534637327
2010,7,0.0501222493887531
2010,8,0.052159739201304
2010,9,0.0525672371638142
2010,10,0.0529747351263244
2010,11,0.0484922575387123
2010,12,0.0566422167889161
2010,13,0.0448247758761206
2010,14,0.0440097799511002
2010,15,0.0346373268133659
2010,16,0.0427872860635697
2010,17,0.0220048899755501
2010,18,0.0211898940505297
2010,19,0.0203748981255094
2010,20,0.0101874490627547
2010,21,0.0179299103504482
2010,22,0.0118174409127954
2010,23,0.0114099429502852
2010,24,0.0105949470252649
2010,25,0.0154849225753871
2010,26,0.00855745721271394
2010,27,0.0122249388753056
2010,28,0.00692746536267319
2010,29,0.00570497147514262
2010,30,0.00407497962510187
2010,31,0.00244498777506113
2010,32,0.00203748981255094
2010,33,0.00162999185004075
2010,34,0.00244498777506113
2010,35,0.00122249388753056
2010,36,0.000407497962510187
2010,37,0
2010,38,0
2010,39,0
2010,40,0.00162999185004075
2011,0,0.0306535569693464
2011,1,0.0289184499710816
2011,2,0.0537883169462117
2011,3,0.0416425679583574
2011,4,0.0433776749566223
2011,5,0.0532099479467901
2011,6,0.0451127819548872
2011,7,0.0387507229612493
2011,8,0.0503181029496819
2011,9,0.0381723539618276
2011,10,0.0566801619433198
2011,11,0.0514748409485252
2011,12,0.0561017929438982
2011,13,0.064198958935801
2011,14,0.0491613649508386
2011,15,0.0416425679583574
2011,16,0.037593984962406
2011,17,0.0277617119722383
2011,18,0.0254482359745518
2011,19,0.026604973973395
2011,20,0.0185078079814922
2011,21,0.0213996529786004
2011,22,0.015615962984384
2011,23,0.0150375939849624
2011,24,0.00867553499132447
2011,25,0.00983227299016773
2011,26,0.0092539039907461
2011,27,0.0092539039907461
2011,28,0.0092539039907461
2011,29,0.00694042799305957
2011,30,0.00231347599768652
2011,31,0.00289184499710816
2011,32,0.00404858299595142
2011,33,0.00115673799884326
2011,34,0.00289184499710816
2011,35,0
2011,36,0.00115673799884326
2011,37,0.000578368999421631
2011,38,0
2011,39,0
2011,40,0
2012,0,0.0327868852459016
2012,1,0.0327868852459016
2012,2,0.0655737704918033
2012,3,0.0327868852459016
2012,4,0.0163934426229508
2012,5,0.0327868852459016
2012,6,0.0655737704918033
2012,7,0.0655737704918033
2012,8,0.0163934426229508
2012,9,0.0163934426229508
2012,10,0.0491803278688525
2012,11,0.0327868852459016
2012,12,0.131147540983607
2012,13,0.0655737704918033
2012,14,0.0655737704918033
2012,15,0.0491803278688525
2012,16,0.0819672131147541
2012,17,0.0327868852459016
2012,18,0.0327868852459016
2012,19,0
2012,20,0
2012,21,0.0327868852459016
2012,22,0.0163934426229508
2012,23,0
2012,24,0
2012,25,0
2012,26,0
2012,27,0.0163934426229508
2012,28,0.0163934426229508
2012,29,0
2012,30,0
2012,31,0
2012,32,0
2012,33,0
2012,34,0
2012,35,0
2012,36,0
2012,37,0
2012,38,0
2012,39,0
2012,40,0
2013,0,0.0190918472652219
2013,1,0.0340557275541796
2013,2,0.0340557275541796
2013,3,0.0350877192982456
2013,4,0.0304437564499484
2013,5,0.0454076367389061
2013,6,0.0340557275541796
2013,7,0.0350877192982456
2013,8,0.042311661506708
2013,9,0.0397316821465428
2013,10,0.0479876160990712
2013,11,0.0464396284829721
2013,12,0.0490196078431373
2013,13,0.0546955624355005
2013,14,0.0505675954592363
2013,15,0.0490196078431373
2013,16,0.04437564499484
2013,17,0.0356037151702786
2013,18,0.0345717234262126
