yr,year_init,pc
2008,1970,0
2008,1971,0.00140449438202247
2008,1972,0
2008,1973,0.00140449438202247
2008,1974,0.00140449438202247
2008,1975,0.00140449438202247
2008,1976,0.00280898876404494
2008,1977,0
2008,1978,0.00280898876404494
2008,1979,0.00561797752808989
2008,1980,0.0140449438202247
2008,1981,0.0098314606741573
2008,1982,0.0154494382022472
2008,1983,0.0154494382022472
2008,1984,0.0168539325842697
2008,1985,0.0154494382022472
2008,1986,0.00702247191011236
2008,1987,0.0154494382022472
2008,1988,0.0182584269662921
2008,1989,0.023876404494382
2008,1990,0.0154494382022472
2008,1991,0.023876404494382
2008,1992,0.0098314606741573
2008,1993,0.0308988764044944
2008,1994,0.0323033707865169
2008,1995,0.0449438202247191
2008,1996,0.0632022471910112
2008,1997,0.0632022471910112
2008,1998,0.0561797752808989
2008,1999,0.0617977528089888
2008,2000,0.050561797752809
2008,2001,0.0575842696629214
2008,2002,0.0632022471910112
2008,2003,0.050561797752809
2008,2004,0.0421348314606742
2008,2005,0.0365168539325843
2008,2006,0.0421348314606742
2008,2007,0.0365168539325843
2008,2008,0.050561797752809
2009,1970,0
2009,1971,0
2009,1972,0
2009,1973,0
2009,1974,0.00214592274678112
2009,1975,0.000715307582260372
2009,1976,0.00286123032904149
2009,1977,0.00214592274678112
2009,1978,0.00143061516452074
2009,1979,0.00286123032904149
2009,1980,0.00643776824034335
2009,1981,0.0050071530758226
2009,1982,0.00357653791130186
2009,1983,0.0121602288984263
2009,1984,0.00786838340486409
2009,1985,0.00929899856938484
2009,1986,0.0050071530758226
2009,1987,0.00715307582260372
2009,1988,0.00858369098712446
2009,1989,0.0157367668097282
2009,1990,0.0100143061516452
2009,1991,0.0207439198855508
2009,1992,0.01931330472103
2009,1993,0.0207439198855508
2009,1994,0.0371959942775393
2009,1995,0.0329041487839771
2009,1996,0.0529327610872675
2009,1997,0.0550786838340486
2009,1998,0.0579399141630901
2009,1999,0.0565092989985694
2009,2000,0.0515021459227468
2009,2001,0.0636623748211731
2009,2002,0.0600858369098712
2009,2003,0.050071530758226
2009,2004,0.0586552217453505
2009,2005,0.0579399141630901
2009,2006,0.0515021459227468
2009,2007,0.0608011444921316
2009,2008,0.0765379113018598
