yr,N,dur_int,n,pc
2008,712,0,31,0.0435393258426966
2008,712,1,23,0.0323033707865169
2008,712,2,29,0.0407303370786517
2008,712,3,25,0.0351123595505618
2008,712,4,30,0.0421348314606742
2008,712,5,37,0.0519662921348315
2008,712,6,41,0.0575842696629214
2008,712,7,41,0.0575842696629214
2008,712,8,39,0.0547752808988764
2008,712,9,43,0.0603932584269663
2008,712,10,43,0.0603932584269663
2008,712,11,37,0.0519662921348315
2008,712,12,48,0.0674157303370787
2008,712,13,41,0.0575842696629214
2008,712,14,22,0.0308988764044944
2008,712,15,21,0.0294943820224719
2008,712,16,12,0.0168539325842697
2008,712,17,12,0.0168539325842697
2008,712,18,15,0.0210674157303371
2008,712,19,16,0.0224719101123596
2008,712,20,12,0.0168539325842697
2008,712,21,12,0.0168539325842697
2008,712,22,6,0.00842696629213483
2008,712,23,11,0.0154494382022472
2008,712,24,11,0.0154494382022472
2008,712,25,10,0.0140449438202247
2008,712,26,13,0.0182584269662921
2008,712,27,7,0.0098314606741573
2008,712,28,10,0.0140449438202247
2008,712,29,5,0.00702247191011236
2008,712,30,1,0.00140449438202247
2008,712,31,2,0.00280898876404494
2008,712,32,2,0.00280898876404494
2008,712,33,0,0
2008,712,34,2,0.00280898876404494
2008,712,35,1,0.00140449438202247
2008,712,36,0,0
2008,712,37,1,0.00140449438202247
2008,712,38,0,0
2008,712,39,0,0
2008,712,40,0,0
2009,1398,0,45,0.0321888412017167
2009,1398,1,100,0.0715307582260372
2009,1398,2,86,0.061516452074392
2009,1398,3,69,0.0493562231759657
2009,1398,4,76,0.0543633762517883
2009,1398,5,81,0.0579399141630901
2009,1398,6,76,0.0543633762517883
2009,1398,7,85,0.0608011444921316
2009,1398,8,90,0.0643776824034335
2009,1398,9,75,0.0536480686695279
2009,1398,10,78,0.055793991416309
2009,1398,11,77,0.0550786838340486
2009,1398,12,76,0.0543633762517883
2009,1398,13,69,0.0493562231759657
2009,1398,14,44,0.0314735336194564
2009,1398,15,49,0.0350500715307582
2009,1398,16,29,0.0207439198855508
2009,1398,17,25,0.0178826895565093
2009,1398,18,24,0.0171673819742489
2009,1398,19,15,0.0107296137339056
2009,1398,20,23,0.0164520743919886
2009,1398,21,10,0.00715307582260372
2009,1398,22,9,0.00643776824034335
2009,1398,23,8,0.00572246065808298
2009,1398,24,11,0.00786838340486409
2009,1398,25,13,0.00929899856938484
2009,1398,26,14,0.0100143061516452
2009,1398,27,10,0.00715307582260372
2009,1398,28,6,0.00429184549356223
2009,1398,29,7,0.0050071530758226
2009,1398,30,2,0.00143061516452074
2009,1398,31,2,0.00143061516452074
2009,1398,32,3,0.00214592274678112
2009,1398,33,5,0.00357653791130186
2009,1398,34,1,0.000715307582260372
2009,1398,35,2,0.00143061516452074
2009,1398,36,0,0
2009,1398,37,0,0
2009,1398,38,0,0
2009,1398,39,0,0
2009,1398,40,1,0.000715307582260372
2010,2454,0,85,0.0346373268133659
2010,2454,1,145,0.0590872045639772
2010,2454,2,130,0.0529747351263244
2010,2454,3,113,0.0460472697636512
2010,2454,4,97,0.0395273023634882
2010,2454,5,119,0.0484922575387123
2010,2454,6,121,0.0493072534637327
2010,2454,7,123,0.0501222493887531
2010,2454,8,128,0.052159739201304
2010,2454,9,129,0.0525672371638142
2010,2454,10,130,0.0529747351263244
2010,2454,11,119,0.0484922575387123
2010,2454,12,139,0.0566422167889161
2010,2454,13,110,0.0448247758761206
2010,2454,14,108,0.0440097799511002
2010,2454,15,85,0.0346373268133659
2010,2454,16,105,0.0427872860635697
2010,2454,17,54,0.0220048899755501
2010,2454,18,52,0.0211898940505297
2010,2454,19,50,0.0203748981255094
2010,2454,20,25,0.0101874490627547
2010,2454,21,44,0.0179299103504482
2010,2454,22,29,0.0118174409127954
2010,2454,23,28,0.0114099429502852
2010,2454,24,26,0.0105949470252649
2010,2454,25,38,0.0154849225753871
2010,2454,26,21,0.00855745721271394
2010,2454,27,30,0.0122249388753056
2010,2454,28,17,0.00692746536267319
2010,2454,29,14,0.00570497147514262
2010,2454,30,10,0.00407497962510187
2010,2454,31,6,0.00244498777506113
2010,2454,32,5,0.00203748981255094
2010,2454,33,4,0.00162999185004075
2010,2454,34,6,0.00244498777506113
2010,2454,35,3,0.00122249388753056
2010,2454,36,1,0.000407497962510187
