year,injdur,pc
1993,0,0.0734229576008273
1993,1,0.0954843157531885
1993,2,0.0896242674939676
1993,3,0.0641158221302999
1993,4,0.0672182006204757
1993,5,0.0575663564288177
1993,6,0.0575663564288177
1993,7,0.0558428128231644
1993,8,0.0582557738710789
1993,9,0.0437780075835919
1993,10,0.0461909686315064
1993,11,0.0389520854877628
1993,12,0.0406756290934161
1993,13,0.0313684936228887
1993,14,0.0265425715270596
1993,15,0.0199931058255774
1993,16,0.0186142709410548
1993,17,0.0130989314029645
1993,18,0.0117200965184419
1993,19,0.0134436401240951
1993,20,0.0144777662874871
1993,21,0.00965184419165805
1993,22,0.0117200965184419
1993,23,0.00861771802826612
1993,24,0.00723888314374354
1993,25,0.00551533953809031
1993,26,0.00448121337469838
1993,27,0.00517063081695967
1993,28,0.00137883488452258
1993,29,0.0031023784901758
1993,30,0.00241296104791451
1993,31,0.00103412616339193
1993,32,0.000344708721130645
1993,33,0
1993,34,0
1993,35,0
1993,36,0
1993,37,0
1993,38,0
1993,39,0.000344708721130645
1993,40,0.000344708721130645
1994,0,0.0685548760862568
1994,1,0.0891535242999678
1994,2,0.0807853234631477
1994,3,0.0650144834245253
1994,4,0.064692629546186
1994,5,0.0576118442227229
1994,6,0.0585774058577406
1994,7,0.0479562278725459
1994,8,0.0527840360476344
1994,9,0.0524621821692951
1994,10,0.0469906662375282
1994,11,0.0469906662375282
1994,12,0.0421628580624397
1994,13,0.0308979723205665
1994,14,0.0270357257804957
1994,15,0.0254264563887995
1994,16,0.0180238171869971
1994,17,0.0177019633086579
1994,18,0.0154489861602832
1994,19,0.010943031863534
1994,20,0.0122304473768909
1994,21,0.00901190859349855
1994,22,0.00901190859349855
1994,23,0.00901190859349855
1994,24,0.00901190859349855
1994,25,0.00804634695848085
1994,26,0.00579336981010621
1994,27,0.00579336981010621
1994,28,0.00514966205342774
1994,29,0.0019311232700354
1994,30,0.00225297714837464
1994,31,0.00160926939169617
1994,32,0.000321853878339234
1994,33,0.000321853878339234
1994,34,0.000321853878339234
1994,35,0.000321853878339234
1994,36,0
1994,37,0
1994,38,0
1994,39,0.000321853878339234
1994,40,0
1995,0,0.0690067810131631
1995,1,0.0813721579577184
1995,2,0.0749900279218189
1995,3,0.067810131631432
1995,4,0.0590347028320702
1995,5,0.0614280015955325
1995,6,0.0410849621061029
1995,7,0.0482648583964898
1995,8,0.0510570402871959
1995,9,0.052253689668927
1995,10,0.0490626246509773
1995,11,0.0566414040686079
1995,12,0.0402871958516155
1995,13,0.0434782608695652
1995,14,0.0323095333067411
1995,15,0.0271240526525728
1995,16,0.0175508575987236
1995,17,0.015556441962505
1995,18,0.0131631431990427
1995,19,0.0111687275628241
1995,20,0.0115676106900678
1995,21,0.0111687275628241
1995,22,0.0115676106900678
1995,23,0.00757877941763063
1995,24,0.00877542879936179
1995,25,0.0067810131631432
1995,26,0.00638213003589948
1995,27,0.00358994814519346
1995,28,0.00558436378141205
1995,29,0.00438771439968089
1995,30,0.00478659752692461
1995,31,0.00119664938173115
1995,32,0.000797766254487435
1995,33,0.00119664938173115
1995,34,0.000398883127243718
1995,35,0.000398883127243718
1995,36,0.000398883127243718
1995,37,0.000398883127243718
1995,38,0
1995,39,0
1995,40,0
1996,0,0.0805014846585285
1996,1,0.0775321676014517
1996,2,0.0814912570108875
1996,3,0.0772022434839987
1996,4,0.0620257340811613
1996,5,0.0669745958429561
1996,6,0.0550973276146486
1996,7,0.0488287693830419
1996,8,0.0409105905641702
1996,9,0.0445397558561531
1996,10,0.0488287693830419
1996,11,0.0376113493896404
1996,12,0.0366215770372814
1996,13,0.0323325635103926
1996,14,0.0376113493896404
1996,15,0.022434839986803
1996,16,0.0204552952820851
1996,17,0.0204552952820851
1996,18,0.0151765094028373
1996,19,0.0115473441108545
1996,20,0.0115473441108545
1996,21,0.00824810293632465
1996,22,0.0102276476410426
1996,23,0.00989772352358957
1996,24,0.00824810293632465
1996,25,0.0069284064665127
1996,26,0.00725833058396569
1996,27,0.00527878587924777
1996,28,0.00263939293962389
1996,29,0.0023094688221709
1996,30,0.00428901352688882
1996,31,0.00164962058726493
1996,32,0.00197954470471792
1996,33,0.000989772352358957
1996,34,0
1996,35,0.000329924117452986
1996,36,0
1996,37,0
1996,38,0
1996,39,0
1996,40,0
1997,0,0.0823779193205945
1997,1,0.0963906581740977
1997,2,0.0955414012738854
1997,3,0.0653927813163482
1997,4,0.0628450106157113
1997,5,0.0577494692144374
1997,6,0.0505307855626327
1997,7,0.0475583864118896
1997,8,0.0428874734607219
1997,9,0.0416135881104034
1997,10,0.0420382165605096
1997,11,0.0416135881104034
1997,12,0.0326963906581741
1997,13,0.0348195329087049
1997,14,0.0305732484076433
1997,15,0.0267515923566879
1997,16,0.0263269639065817
1997,17,0.0174097664543524
1997,18,0.0165605095541401
1997,19,0.0059447983014862
1997,20,0.013588110403397
1997,21,0.0089171974522293
1997,22,0.00849256900212314
1997,23,0.00806794055201699
1997,24,0.00721868365180467
1997,25,0.00467091295116773
1997,26,0.00552016985138004
1997,27,0.00806794055201699
1997,28,0.00509554140127389
1997,29,0.00127388535031847
1997,30,0.00339702760084926
1997,31,0.0029723991507431
1997,32,0.000424628450106157
1997,33,0.00212314225053079
1997,34,0.00127388535031847
1997,35,0.000424628450106157
1997,36,0.000424628450106157
1997,37,0
1997,38,0
1997,39,0
1997,40,0
1998,0,0.0734357437242413
1998,1,0.0899213188460097
1998,2,0.0955414012738854
1998,3,0.0783064818284002
1998,4,0.0599475458973398
1998,5,0.0648182840014987
1998,6,0.0494567253653054
1998,7,0.0449606594230049
1998,8,0.0423379542899963
1998,9,0.0359685275384039
1998,10,0.040089921318846
1998,11,0.028100412139378
1998,12,0.0318471337579618
1998,13,0.0318471337579618
1998,14,0.0307231172723867
1998,15,0.0307231172723867
1998,16,0.0277257399775197
1998,17,0.0273510678156613
1998,18,0.0157362307980517
1998,19,0.0112401648557512
1998,20,0.0108654926938928
1998,21,0.0153615586361933
1998,22,0.00936680404645935
1998,23,0.00636942675159236
1998,24,0.0086174597227426
1998,25,0.00749344323716748
1998,26,0.00899213188460097
1998,27,0.00636942675159236
1998,28,0.00337204945672537
