year,Yes,No,missing
1990,0,0,1562
1991,0,0,1460
1992,0,0,3643
1993,2659,319,489
1994,2871,373,260
1995,2365,330,195
1996,2856,366,283
1997,2255,269,193
1998,2784,409,173
1999,3045,453,236
2000,2853,443,131
2001,2470,393,103
2002,2328,444,80
2003,2209,424,75
2004,2045,515,127
2005,2369,692,122
2006,2490,694,74
2007,2695,742,150
2008,2378,709,131
2009,2327,780,186
2010,2197,882,210
2011,1806,823,211
2012,2232,910,247
2013,2222,864,60
2014,2106,904,85
2015,1921,736,67
2016,1957,799,62
2017,1855,771,105
2018,1919,851,94
2019,2049,1119,90
