yr,md,lower,upper,region,parameter
2009,34.3189596167009,29.1279945242985,38.1409993155373,GCC,age
2008,34.3340177960302,29.2498288843258,39.6324435318275,GCC,age
2010,35.1676933607119,30.4010951403149,39.7700205338809,GCC,age
2011,35.5550992470911,31.3511293634497,39.82340862423,GCC,age
2013,38.8555783709788,33.4476386036961,43.3771389459274,GCC,age
2015,39.0444900752909,34.0034223134839,43.6796714579055,GCC,age
2017,40.8952772073922,36.2765229295003,45.8535249828884,GCC,age
2019,40.5201916495551,36.1286789869952,45.7796030116359,GCC,age
2009,30.943189596167,26.5954825462012,37.0212183436003,Lothian_and_Tayside,age
2010,31.3963039014374,27.2361396303901,37.3518138261465,Lothian_and_Tayside,age
2011,32.527036276523,28.0027378507871,38.6892539356605,Lothian_and_Tayside,age
2013,33.8507871321013,28.952772073922,39.7891854893908,Lothian_and_Tayside,age
2015,36.2135523613963,31.7125256673511,41.6755646817248,Lothian_and_Tayside,age
2016,35.066392881588,31.5359342915811,38.8049281314169,Lothian_and_Tayside,age
2018,37.9876796714579,33.1211498973306,42.009582477755,Lothian_and_Tayside,age
2017,36.539356605065,31.8781656399726,43.0540725530459,Lothian_and_Tayside,age
2009,32.0219028062971,27.7768651608487,36.8596851471595,Other,age
2008,31.9561943874059,27.605749486653,36.4633812457221,Other,age
2010,33.0212183436003,28.5694729637235,38.3422313483915,Other,age
2011,34.952772073922,30.0869267624914,40.2416153319644,Other,age
2012,33.5085557837098,30.6064339493498,39.0088980150582,Other,age
2013,35.5509924709103,31.0800821355236,40.7775496235455,Other,age
2014,32.0301163586585,28.6714579055442,36.0492813141684,Other,age
2015,37.3812457221081,33.1143052703628,42.6700889801506,Other,age
2016,35.9712525667351,33.6926762491444,38.8316221765914,Other,age
2017,37.4661190965092,33.5215605749487,42.7275838466804,Other,age
2018,38.4640657084189,33.9616700889802,43.3744010951403,Other,age
2019,39.3182751540041,34.9075975359343,44.0369609856263,Other,age
2009,32.1697467488022,27.6591375770021,37.1786447638604,Scotland,age
2008,33.7399041752225,28.7501711156742,38.7084188911704,Scotland,age
2010,33.7275838466804,28.7748117727584,38.92128678987,Scotland,age
2011,34.9691991786448,30.435318275154,39.7953456536619,Scotland,age
2012,33.5085557837098,30.6064339493498,39.0088980150582,Scotland,age
2013,36.7118412046544,31.52977412731,41.7885010266941,Scotland,age
2014,32.0301163586585,28.6714579055442,36.0492813141684,Scotland,age
2015,37.5304585900068,33.1266255989049,42.9158110882957,Scotland,age
2016,35.5318275154004,33.0349075975359,38.8501026694045,Scotland,age
2017,40.3559206023272,35.6995208761122,45.3429158110883,Scotland,age
2018,38.1683778234086,33.791923340178,42.8651608487337,Scotland,age
