yr,fit,lower,higher,tau
2008,3.95790554414816,3.59960910148063,4.3162019868157,0.25
2009,4.57211229336517,4.33339071734833,4.810833869382,0.25
2010,5.16257544645665,4.9685066874764,5.35664420543689,0.25
2011,5.7292950034226,5.51492892181343,5.94366108503176,0.25
2012,6.27227096426302,6.0199476432168,6.52459428530925,0.25
2013,6.79150332897792,6.51066469035418,7.07234196760166,0.25
2014,7.28699209756729,6.9939326061288,7.58005158900578,0.25
2015,7.75873727003114,7.46670114196078,8.05077339810149,0.25
2016,8.20673884636946,7.91707044986128,8.49640724287764,0.25
2017,8.63099682658225,8.32303269305317,8.93896096011133,0.25
2018,9.03151121066952,8.66079062496951,9.40223179636952,0.25
2019,9.40828199863126,8.92116204185229,9.89540195541023,0.25
2020,9.76130919046747,9.10842557858279,10.4141928023521,0.25
2008,8.24897641714937,7.83660234980747,8.66135048449128,0.5
2009,9.18925393566097,8.91049786126417,9.46801001005777,0.5
2010,10.0823533071998,9.8743040110214,10.2904026033781,0.5
2011,10.9282745317657,10.7249461697969,11.1316028937346,0.5
2012,11.7270176093589,11.4973874164641,11.9566478022537,0.5
2013,12.4785825399792,12.2244199495205,12.732745130438,0.5
2014,13.1829693236268,12.9176403096169,13.4482983376367,0.5
2015,13.8401779603015,13.5758224135184,14.1045335070846,0.5
2016,14.4502084500034,14.1873340730786,14.7130828269283,0.5
2017,15.0130607927325,14.7294979084045,15.2966236770606,0.5
2018,15.5287349884888,15.178806550709,15.8786634262687,0.5
2019,15.9972310372723,15.527997561604,16.4664645129406,0.5
2020,16.418548939083,15.7822711567037,17.0548267214622,0.5
2008,12.804585900069,12.3379486147836,13.2712231853543,0.75
2009,13.9170511213637,13.5945456578613,14.2395565848661,0.75
2010,14.9690169515636,14.7258091897934,15.2122247133339,0.75
2011,15.9604833906686,15.7277322426719,16.1932345386653,0.75
2012,16.8914504386788,16.6331177395877,17.1497831377699,0.75
2013,17.761918095594,17.4770504279173,18.0467857632708,0.75
2014,18.5718863614144,18.274597323202,18.8691753996268,0.75
2015,19.32135523614,19.0280118444574,19.6146986278225,0.75
2016,20.0103247197706,19.7302638951673,20.2903855443739,0.75
2017,20.6387948123064,20.3622763891519,20.9153132354609,0.75
2018,21.2067655137473,20.8941623815434,21.5193686459512,0.75
2019,21.7142368240933,21.3062553200065,22.1222183281802,0.75
2020,22.1612087433445,21.6012607482208,22.7211567384682,0.75
