yr,fit,lower,higher,tau,region,parameter
2008,28.7368164879459,28.1346997973847,29.338933178507,0.25,GCC,age
2009,29.7225644535706,29.3128413353097,30.1322875718315,0.25,GCC,age
2010,30.652977412731,30.3562136734259,30.9497411520361,0.25,GCC,age
2011,31.528055365427,31.2577553250761,31.7983554057779,0.25,GCC,age
2012,32.3477983116586,32.0552840072365,32.6403126160807,0.25,GCC,age
2013,33.1122062514259,32.7942935529543,33.4301189498975,0.25,GCC,age
2014,33.8212791847288,33.4928788143351,34.1496795551225,0.25,GCC,age
2015,34.4750171115674,34.1479796233618,34.802054599773,0.25,GCC,age
2016,35.0734200319415,34.7384223908111,35.408417673072,0.25,GCC,age
2017,35.6164879458514,35.2288384357423,36.0041374559605,0.25,GCC,age
2018,36.1042208532968,35.5938325969629,36.6146091096307,0.25,GCC,age
2019,36.5366187542779,35.8330046273696,37.2402328811862,0.25,GCC,age
2020,36.9136816487946,35.9550574661014,37.8723058314877,0.25,GCC,age
2008,33.4674880219028,32.859042392166,34.0759336516396,0.5,GCC,age
2009,34.5067927737332,34.0895992055061,34.9239863419603,0.5,GCC,age
2010,35.4743326488706,35.16197925091,35.7866860468311,0.5,GCC,age
2011,36.370107647315,36.0731413013364,36.6670739932935,0.5,GCC,age
2012,37.1941177690664,36.8677886526241,37.5204468855087,0.5,GCC,age
2013,37.9463630141247,37.5911679628895,38.30155806536,0.5,GCC,age
2014,38.6268433824901,38.2607449620466,38.9929418029337,0.5,GCC,age
2015,39.2355588741625,38.8749600147434,39.5961577335816,0.5,GCC,age
2016,39.7725094891419,39.4157911881913,40.1292277900924,0.5,GCC,age
2017,40.2376952274282,39.8479799959291,40.6274104589274,0.5,GCC,age
2018,40.6311160890216,40.1379133139981,41.1243188640451,0.5,GCC,age
2019,40.952772073922,40.2791140757212,41.6264300721228,0.5,GCC,age
2020,41.2026631821293,40.2811659533411,42.1241604109175,0.5,GCC,age
2008,38.2067077344285,37.4959085295478,38.9175069393092,0.75,GCC,age
2009,39.1327650218821,38.6528131426524,39.6127169011118,0.75,GCC,age
2010,40.0212556779292,39.6645914951028,40.3779198607556,0.75,GCC,age
2011,40.8721797025699,40.5284776267412,41.2158817783986,0.75,GCC,age
2012,41.6855370958041,41.3035220665639,42.0675521250442,0.75,GCC,age
2013,42.4613278576318,42.044283358294,42.8783723569696,0.75,GCC,age
2014,43.1995519880531,42.7683976936342,43.6307062824719,0.75,GCC,age
