fyear,md,lower,upper,region
1989,24,24,24,East Midlands
1990,20.5,18.25,23.25,East Midlands
1991,26,26,26,East Midlands
1993,22.5,20,28,East Midlands
1994,22.5,19,25,East Midlands
1992,19,18.5,19.5,East Midlands
1995,22,19,27,East Midlands
1996,22,19,26,East Midlands
1997,22,17,25,East Midlands
1998,24,20,28,East Midlands
1999,23,20.5,29,East Midlands
2000,24,23,28,East Midlands
2001,21.5,18.25,25.75,East Midlands
2002,22.5,19.25,28.5,East Midlands
2003,23,20,26.5,East Midlands
2004,21,19,26,East Midlands
2005,23,19,26,East Midlands
2006,24,20.75,31,East Midlands
2007,25,19,32.5,East Midlands
2008,25,21,27,East Midlands
2009,23,19,24.5,East Midlands
2010,20,18,26.5,East Midlands
2011,27,22.75,35.25,East Midlands
2012,30,24,37,East Midlands
2013,29,23.75,38,East Midlands
2014,27.5,24.75,33.75,East Midlands
2015,30.5,25.75,36.25,East Midlands
2016,33,29.5,38.5,East Midlands
2017,33,26.5,39.25,East Midlands
2018,32,27.5,36,East Midlands
2019,30,30,34,East Midlands
1988,31,27.5,34.5,East of England
1987,23,22.5,23.5,East of England
1990,25,17,25,East of England
1989,23,21,24,East of England
1992,20.5,20,21.75,East of England
1991,20,20,20,East of England
1993,24,18,29,East of England
1995,20,17,26.5,East of England
1994,20.5,15.5,25.25,East of England
1996,23.5,20.25,27,East of England
1997,22,18.5,24.5,East of England
1998,22.5,19,27,East of England
1999,26,20,29.75,East of England
2000,21,18.25,26,East of England
2001,25.5,19,28,East of England
2002,24,20.5,28,East of England
2003,22.5,18.75,30.5,East of England
2004,23,19,30.5,East of England
2005,26,21.75,32.75,East of England
2006,25,20,29.25,East of England
2007,21,20,26.25,East of England
2008,24,19.5,25,East of England
2009,27,20.75,32.5,East of England
2010,27,24,36.25,East of England
2011,24.5,19.75,36,East of England
2012,29,24,31.75,East of England
2013,32,26.25,37.25,East of England
2014,28,26,34,East of England
2015,34,30,41,East of England
2016,32,28,34,East of England
2017,32.5,29.75,34.25,East of England
2018,29,27,33,East of England
2019,35,31,38.25,East of England
1990,25,21,28,London
1988,24.5,20,28,London
1987,22,20,24,London
1989,23.5,19,28,London
1991,26,21,28.5,London
1992,25,21,29,London
1993,25,22,29,London
1994,24.5,21,29,London
1995,26,22,30,London
1996,26,21,30,London
1997,25,21,28,London
1998,25.5,21,32,London
1999,28,23,33,London
2000,28,24,32,London
2001,28,24.75,33,London
2002,28.5,24,35,London
2003,28,24,34,London
2004,28,25,33,London
2005,30.5,25.25,34.75,London
2006,27.5,23,35,London
2007,28,21,34,London
2008,27,22,32,London
2009,32,24,37,London
2010,26.5,21,35.25,London
2011,32.5,27,36.5,London
2012,30,25,36,London
2013,35,28,38,London
2014,30.5,25.75,40,London
2015,35,26.5,39,London
2016,35.5,31.5,38,London
2017,37,31.75,40,London
2018,34,30,39,London
2019,36,34.5,37.5,London
1990,18,18,23,North East
1991,18,17,19,North East
1989,18,18,18,North East
1992,20,18,24,North East
1993,19,17,22,North East
1994,19.5,17.75,22,North East
1995,21,18,24,North East
1996,21,18,24,North East
1997,21,18,24,North East
1998,20,18,25,North East
1999,21,19,25,North East
2000,23,19.75,26,North East
2001,23,18.75,26,North East
2002,22,18,26,North East
2003,22,19,28,North East
2004,22,19,28.5,North East
2005,22,19,27,North East
2006,21.5,20,27,North East
2007,23,19.25,28,North East
2008,22,20,27,North East
2009,20,18,24.25,North East
2010,23,20,27,North East
2011,25,21,29,North East
2012,26,21,28.25,North East
2013,26.5,23,31.5,North East
2014,28,23.75,31.5,North East
2015,29,24,30,North East
2016,33,30,35,North East
2017,33,25.5,38.75,North East
2018,32,24.75,43.25,North East
2019,28,24,34.5,North East
1989,21,19,24,North West
1987,20,18,24,North West
1988,21,18,23,North West
1990,21,18,25,North West
1991,22,19,26,North West
1992,22,19,25,North West
1993,22,19,25,North West
1994,22,20,26,North West
1995,23,20,27,North West
1996,23,20,27.25,North West
1997,25,20,30,North West
1998,24,20,29,North West
1999,26,22,30,North West
2000,26,22,30,North West
2001,27,21,31.25,North West
2002,27,21,30.5,North West
2003,28,22,30,North West
2004,25,21,31.75,North West
2005,26,22,32,North West
2006,29,24,33.5,North West
2007,26,21,34,North West
2008,27,21,30.75,North West
2009,30,23,38.5,North West
2010,29,24,40,North West
2011,29,23.5,36.5,North West
2012,34,27,37,North West
2013,30,23.5,35,North West
2014,29.5,24.5,37.5,North West
2015,31.5,24.5,37.75,North West
2016,32.5,25.25,39.75,North West
2017,31,27,34,North West
2018,34,32,38.5,North West
2019,32.5,32.25,32.75,North West
