fyear,fit,lower,higher,tau,region
1990,20.7951945080091,19.2978241762421,22.2925648397761,0.25,East Midlands
1991,20.3729977116705,19.1106678584523,21.6353275648886,0.25,East Midlands
1992,20,18.9463869680469,21.0536130319531,0.25,East Midlands
1993,19.6762013729977,18.8022018809253,20.5502008650701,0.25,East Midlands
1994,19.4016018306636,18.674159005946,20.1290446553812,0.25,East Midlands
1995,19.1762013729977,18.5574501915203,19.7949525544751,0.25,East Midlands
1996,19,18.4484021711304,19.5515978288696,0.25,East Midlands
1997,18.8729977116705,18.3483777816353,19.3976176417057,0.25,East Midlands
1998,18.7951945080091,18.2659792884734,19.3244097275449,0.25,East Midlands
1999,18.766590389016,18.213786064222,19.3193947138101,0.25,East Midlands
2000,18.7871853546911,18.2031575025425,19.3712132068397,0.25,East Midlands
2001,18.8569794050343,18.2418910040203,19.4720678060484,0.25,East Midlands
2002,18.9759725400458,18.3344182339922,19.6175268460993,0.25,East Midlands
2003,19.1441647597254,18.4826413743899,19.8056881450609,0.25,East Midlands
2004,19.3615560640732,18.6865493661257,20.0365627620208,0.25,East Midlands
2005,19.6281464530892,18.944496381161,20.3117965250175,0.25,East Midlands
2006,19.9439359267735,19.2532459254439,20.634625928103,0.25,East Midlands
2007,20.3089244851259,19.6079568790015,21.0098920912502,0.25,East Midlands
2008,20.7231121281465,20.0023706132721,21.4438536430208,0.25,East Midlands
2009,21.1864988558352,20.4294919038449,21.9435058078256,0.25,East Midlands
2010,21.6990846681922,20.8828223367712,22.5153469996133,0.25,East Midlands
2011,22.2608695652174,21.3576620689801,23.1640770614547,0.25,East Midlands
2012,22.8718535469108,21.8517132862295,23.8919938075921,0.25,East Midlands
2013,23.5320366132723,22.36472963302,24.6993435935246,0.25,East Midlands
2014,24.2414187643021,22.8976766813227,25.5851608472814,0.25,East Midlands
2015,25,23.4519738799295,26.5480261200705,0.25,East Midlands
2016,25.8077803203662,24.0290433044449,27.5865173362874,0.25,East Midlands
2017,26.6647597254005,24.6301186633783,28.6994007874227,0.25,East Midlands
2018,27.570938215103,25.2562011067571,29.8856753234489,0.25,East Midlands
2019,28.5263157894737,25.9080780132873,31.1445535656602,0.25,East Midlands
1990,23.6190476190479,21.6111222545324,25.6269729835633,0.5,East Midlands
1991,23.2857142857145,21.5703563587736,25.0010722126555,0.5,East Midlands
1992,23.0000000000002,21.5478270193096,24.4521729806908,0.5,East Midlands
1993,22.7619047619049,21.5411557274356,23.9826537963743,0.5,East Midlands
1994,22.5714285714287,21.5469922067847,23.5958649360727,0.5,East Midlands
1995,22.4285714285716,21.5610282799071,23.2961145772361,0.5,East Midlands
1996,22.3333333333335,21.5789064238313,23.0877602428356,0.5,East Midlands
1997,22.2857142857144,21.5987989684687,22.9726296029601,0.5,East Midlands
1998,22.2857142857144,21.624765214602,22.9466633568267,0.5,East Midlands
1999,22.3333333333334,21.6672584491091,22.9994082175578,0.5,East Midlands
2000,22.4285714285715,21.7392965577924,23.1178462993505,0.5,East Midlands
2001,22.5714285714286,21.8521406138051,23.2907165290522,0.5,East Midlands
2002,22.7619047619048,22.0135604901777,23.5102490336319,0.5,East Midlands
2003,23,22.2280430855171,23.771956914483,0.5,East Midlands
2004,23.2857142857143,22.4974858463631,24.0739427250655,0.5,East Midlands
2005,23.6190476190476,22.8217013375151,24.4163939005801,0.5,East Midlands
2006,24,23.1986143647551,24.801385635245,0.5,East Midlands
2007,24.4285714285714,23.6242355279026,25.2329073292403,0.5,East Midlands
2008,24.9047619047619,24.0926043564383,25.7169194530855,0.5,East Midlands
2009,25.4285714285714,24.5960301512461,26.2611127058968,0.5,East Midlands
2010,26,25.1260120818345,26.8739879181655,0.5,East Midlands
2011,26.6190476190476,25.6748753970277,27.5632198410675,0.5,East Midlands
2012,27.2857142857143,26.2373995799638,28.3340289914647,0.5,East Midlands
2013,28,26.8114165720649,29.1885834279351,0.5,East Midlands
2014,28.7619047619048,27.3971784068512,30.1266311169584,0.5,East Midlands
2015,29.5714285714286,27.9962236167877,31.1466335260694,0.5,East Midlands
2016,30.4285714285715,28.6104621829986,32.2466806741443,0.5,East Midlands
2017,31.3333333333334,29.2416854683242,33.4249811983426,0.5,East Midlands
2018,32.2857142857143,29.8913900380116,34.6800385334171,0.5,East Midlands
2019,33.2857142857143,30.560760676818,36.0106678946107,0.5,East Midlands
1990,27,24.9168663372743,29.0831336627257,0.75,East Midlands
1991,26.7453703703704,25.0094362348686,28.4813045058721,0.75,East Midlands
1992,26.5416666666666,25.1032316192553,27.980101714078,0.75,East Midlands
1993,26.3888888888889,25.1905987888827,27.587178988895,0.75,East Midlands
1994,26.287037037037,25.2622808839501,27.311793190124,0.75,East Midlands
1995,26.2361111111111,25.3116126915814,27.1606095306407,0.75,East Midlands
1996,26.2361111111111,25.3421217721981,27.1301004500241,0.75,East Midlands
1997,26.287037037037,25.3705422400113,27.2035318340627,0.75,East Midlands
1998,26.3888888888889,25.4194092560814,27.3583685216964,0.75,East Midlands
1999,26.5416666666667,25.5079188357055,27.5754144976278,0.75,East Midlands
2000,26.7453703703704,25.648782447396,27.8419582933447,0.75,East Midlands
2001,27,25.8491348726298,28.1508651273702,0.75,East Midlands
2002,27.3055555555555,26.1121333000844,28.4989778110267,0.75,East Midlands
2003,27.662037037037,26.4380490543443,28.8860250197298,0.75,East Midlands
2004,28.0694444444444,26.8247835515653,29.3141053373236,0.75,East Midlands
2005,28.5277777777778,27.2679932573466,29.7875622982089,0.75,East Midlands
2006,29.037037037037,27.7610469246719,30.3130271494022,0.75,East Midlands
