year,fit,lower,higher,tau,region
1990,3.55,2.15457028542303,4.94542971457698,0.25,East Midlands
1991,3.33333333333333,2.12180884669104,4.54485781997563,0.25,East Midlands
1992,3.15,2.1085819527792,4.1914180472208,0.25,East Midlands
1993,3,2.11445684407854,3.88554315592146,0.25,East Midlands
1994,2.88333333333333,2.13879207522977,3.6278745914369,0.25,East Midlands
1995,2.8,2.18062669937621,3.41937330062379,0.25,East Midlands
1996,2.75,2.23853130713111,3.26146869286889,0.25,East Midlands
1997,2.73333333333333,2.31048199073899,3.15618467592767,0.25,East Midlands
1998,2.75,2.39401522085582,3.10598477914417,0.25,East Midlands
1999,2.8,2.48723694141771,3.11276305858228,0.25,East Midlands
2000,2.88333333333333,2.59091792644718,3.17574874021948,0.25,East Midlands
2001,2.99999999999999,2.70989293920414,3.29010706079585,0.25,East Midlands
2002,3.14999999999999,2.85145756929076,3.44854243070922,0.25,East Midlands
2003,3.33333333333332,3.02235735646326,3.64430931020339,0.25,East Midlands
2004,3.54999999999999,3.22725798423259,3.87274201576739,0.25,East Midlands
2005,3.79999999999999,3.46875458084797,4.13124541915201,0.25,East Midlands
2006,4.08333333333332,3.74780639687727,4.41886026978938,0.25,East Midlands
2007,4.39999999999999,4.06402719195695,4.73597280804302,0.25,East Midlands
2008,4.74999999999999,4.41573262286009,5.08426737713988,0.25,East Midlands
2009,5.13333333333332,4.79983049867039,5.46683616799625,0.25,East Midlands
2010,5.54999999999998,5.21179430939788,5.88820569060209,0.25,East Midlands
2011,5.99999999999998,5.64614901573967,6.35385098426029,0.25,East Midlands
2012,6.48333333333331,6.09775916189548,6.86890750477114,0.25,East Midlands
2013,6.99999999999998,6.56333435546706,7.43666564453289,0.25,East Midlands
2014,7.54999999999998,7.04194105229122,8.05805894770873,0.25,East Midlands
2015,8.13333333333331,7.53428781650964,8.73237885015698,0.25,East Midlands
2016,8.74999999999997,8.04170565830363,9.45829434169631,0.25,East Midlands
2017,9.39999999999997,8.56551152212722,10.2344884778727,0.25,East Midlands
2018,10.0833333333333,9.10677863472833,11.0598880319383,0.25,East Midlands
2019,10.8,9.66631565997482,11.9336843400251,0.25,East Midlands
1990,7.81578947368423,6.002292973133,9.62928597423545,0.5,East Midlands
1991,7.36842105263159,5.75208536114666,8.98475674411653,0.5,East Midlands
1992,6.97894736842106,5.54734215501425,8.41055258182788,0.5,East Midlands
1993,6.64736842105264,5.38785281508212,7.90688402702316,0.5,East Midlands
1994,6.37368421052632,5.27333746756088,7.47403095349177,0.5,East Midlands
1995,6.15789473684211,5.20342197811751,7.11236749556671,0.5,East Midlands
1996,6,5.17760657996115,6.82239342003885,0.5,East Midlands
1997,5.9,5.19523234940426,6.60476765059574,0.5,East Midlands
1998,5.8578947368421,5.2554620909947,6.46032738268951,0.5,East Midlands
1999,5.87368421052631,5.35731985960632,6.3900485614463,0.5,East Midlands
2000,5.94736842105263,5.49987790665951,6.39485893544574,0.5,East Midlands
2001,6.07894736842104,5.68269993074114,6.47519480610094,0.5,East Midlands
2002,6.26842105263157,5.90651504129126,6.63032706397188,0.5,East Midlands
2003,6.5157894736842,6.17373469804422,6.85784424932418,0.5,East Midlands
2004,6.82105263157893,6.48824428362342,7.15386097953445,0.5,East Midlands
2005,7.18421052631577,6.85445380001876,7.51396725261279,0.5,East Midlands
2006,7.60526315789472,7.27627919167502,7.93424712411442,0.5,East Midlands
2007,8.08421052631577,7.75658292856274,8.4118381240688,0.5,East Midlands
2008,8.62105263157892,8.29703999860665,8.94506526455119,0.5,East Midlands
2009,9.21578947368418,8.89815618259425,9.53342276477412,0.5,East Midlands
2010,9.86842105263155,9.55923122215359,10.1776108831095,0.5,East Midlands
2011,10.578947368421,10.2781886952169,10.8797060416251,0.5,East Midlands
2012,11.3473684210526,11.0513559684513,11.6433808736539,0.5,East Midlands
2013,12.1736842105263,11.8735638573464,12.4738045637062,0.5,East Midlands
2014,13.0578947368421,12.7391717264676,13.3766177472165,0.5,East Midlands
2015,14,13.6439765492743,14.3560234507256,0.5,East Midlands
2016,15,14.5865013943531,15.4134986056468,0.5,East Midlands
2017,16.0578947368421,15.5675027270724,16.5482867466117,0.5,East Midlands
2018,17.1736842105263,16.5886303139844,17.7587381070681,0.5,East Midlands
2019,18.3473684210526,17.6515028337709,19.0432340083343,0.5,East Midlands
1990,16,12.9093642937807,19.0906357062194,0.75,East Midlands
1991,15.125,12.3521882835734,17.8978117164267,0.75,East Midlands
1992,14.3333333333334,11.8596344189372,16.8070322477295,0.75,East Midlands
1993,13.625,11.4314524397407,15.8185475602593,0.75,East Midlands
1994,13,11.0673161568344,14.9326838431657,0.75,East Midlands
1995,12.4583333333333,10.7667975274418,14.1498691392249,0.75,East Midlands
1996,12,10.5293332303834,13.4706667696166,0.75,East Midlands
1997,11.625,10.3541852574181,12.8958147425819,0.75,East Midlands
1998,11.3333333333333,10.240404417824,12.4262622488427,0.75,East Midlands
1999,11.125,10.1868239135112,12.0631760864888,0.75,East Midlands
2000,11,10.1921470129361,11.8078529870639,0.75,East Midlands
2001,10.9583333333333,10.2552437999533,11.6614228667133,0.75,East Midlands
2002,11,10.3757759188909,11.6242240811091,0.75,East Midlands
2003,11.125,10.55507381808,11.69492618192,0.75,East Midlands
2004,11.3333333333333,10.7967578260388,11.8699088406278,0.75,East Midlands
2005,11.625,11.1064280473323,12.1435719526677,0.75,East Midlands
2006,12,11.4904251739643,12.5095748260357,0.75,East Midlands
2007,12.4583333333333,11.9544752131835,12.9621914534832,0.75,East Midlands
2008,13,12.5028901816056,13.4971098183943,0.75,East Midlands
2009,13.625,13.1383227320244,14.1116772679755,0.75,East Midlands
2010,14.3333333333333,13.8617333903343,14.8049332763323,0.75,East Midlands
2011,15.125,14.6722659808377,15.5777340191622,0.75,East Midlands
2012,16,15.5668658668149,16.433134133185,0.75,East Midlands
2013,16.9583333333333,16.5396993838363,17.3769672828303,0.75,East Midlands
2014,18,17.5820008395866,18.4179991604134,0.75,East Midlands
2015,19.125,18.6837625663888,19.5662374336111,0.75,East Midlands
2016,20.3333333333333,19.8376465116334,20.8290201550331,0.75,East Midlands
2017,21.625,21.041743077304,22.2082569226959,0.75,East Midlands
2018,23,22.2982653217688,23.7017346782311,0.75,East Midlands
2019,24.4583333333333,23.6106325603537,25.3060341063129,0.75,East Midlands
1990,7.30673076923079,5.38702917139217,9.22643236706941,0.25,East of England
