year,fit,lower,higher,tau,region,parameter
1990,25.8869047619048,24.6418875722142,27.1319219515955,0.25,East Midlands,age
1991,25.4000000000001,24.3037823307521,26.4962176692481,0.25,East Midlands,age
1992,24.9678571428572,24.0094384500836,25.9262758356308,0.25,East Midlands,age
1993,24.5904761904763,23.7584743757389,25.4224780052136,0.25,East Midlands,age
1994,24.2678571428572,23.5503728190509,24.9853414666635,0.25,East Midlands,age
1995,24.0000000000001,23.3844397717342,24.6155602282659,0.25,East Midlands,age
1996,23.7869047619048,23.2597749426192,24.3140345811904,0.25,East Midlands,age
1997,23.6285714285715,23.1753009499628,24.0818419071802,0.25,East Midlands,age
1998,23.525,23.1299501784532,23.9200498215469,0.25,East Midlands,age
1999,23.4761904761905,23.1231312951252,23.8292496572558,0.25,East Midlands,age
2000,23.4821428571429,23.1554369616736,23.8088487526122,0.25,East Midlands,age
2001,23.5428571428572,23.229145994094,23.8565682916203,0.25,East Midlands,age
2002,23.6583333333334,23.3479365299517,23.968730136715,0.25,East Midlands,age
2003,23.8285714285714,23.5159024577083,24.1412403994346,0.25,East Midlands,age
2004,24.0535714285714,23.7366146579338,24.3705281992091,0.25,East Midlands,age
2005,24.3333333333333,24.0126868111359,24.6539798555308,0.25,East Midlands,age
2006,24.6678571428571,24.3457427579362,24.989971527778,0.25,East Midlands,age
2007,25.0571428571429,24.7365197820708,25.3777659322149,0.25,East Midlands,age
2008,25.5011904761905,25.1849392364111,25.8174417159698,0.25,East Midlands,age
2009,26,25.6900805365589,26.3099194634411,0.25,East Midlands,age
2010,26.5535714285714,26.2500598596036,26.8570829975393,0.25,East Midlands,age
2011,27.1619047619047,26.8618947845043,27.4619147393052,0.25,East Midlands,age
2012,27.825,27.5215813636559,28.1284186363441,0.25,East Midlands,age
2013,28.5428571428571,28.2247193086666,28.8609949770476,0.25,East Midlands,age
2014,29.3154761904762,28.9677071641969,29.6632452167554,0.25,East Midlands,age
