y1,y2,decay,logratio,var_log_ratio,ratio,ratio_lci,ratio_uci
1980,1981,0.1,0.102240643187861,0.00250102931268244,1.10764998808314,1.00423119822776,1.22171916015531
1980,1982,0.1,0.202166815020223,0.00228491567039172,1.22405218137069,1.11458148558436,1.34427474536131
1980,1983,0.1,0.142664277293201,0.0022450396688599,1.1533425333851,1.05105829713575,1.26558060855434
1980,1984,0.1,0.1596346741125,0.00214808635618846,1.17308223539198,1.071216947568,1.28463420422585
1980,1985,0.1,0.100167994644878,0.00208015746158166,1.10535659646761,1.01083477610784,1.20871702698929
1980,1986,0.1,0.0567188136809095,0.00206629425229997,1.05835817271277,0.968144130423363,1.15697858051167
1980,1987,0.1,-0.0590780802259942,0.00204231649756193,0.942633165273059,0.862730633494262,1.02993593802719
1980,1988,0.1,-0.104577316314714,0.00201684914142061,0.900705155511423,0.824813472364113,0.983579687222569
1980,1989,0.1,-0.130010946776881,0.00197749840241207,0.878085818658411,0.804794167216467,0.958052053975218
1980,1990,0.1,-0.0752252785515547,0.00189589434769387,0.927534509159659,0.851661805016805,1.01016654805257
1980,1991,0.1,-0.0878414942341989,0.00183320670426027,0.915906041606813,0.842181912429722,0.996083939432579
1980,1992,0.1,-0.0900050568813765,0.00181633901972776,0.913926563641323,0.840687021303448,0.993546638122474
1980,1993,0.1,-0.112421352226271,0.00176539417212527,0.893667629314209,0.82302198679459,0.97037727363097
1981,1982,0.1,0.0944999658516487,0.00201972345862106,1.09910912560023,1.00643720102545,1.20031420613907
1981,1983,0.1,0.0447924459686261,0.00195041584232307,1.04581077513865,0.959093752589937,1.14036836799596
1981,1984,0.1,0.0492574485008831,0.00189216280089546,1.05049076320207,0.964641238489107,1.1439805800769
1981,1985,0.1,-0.00339016251150522,0.00184658587051191,0.996615577600952,0.91611481599344,1.08419009514632
1981,1986,0.1,-0.0536386144272785,0.00179824214483325,0.947774556670769,0.872186300671454,1.02991368883108
1981,1987,0.1,-0.169192500721087,0.00181455026619346,0.844346350459448,0.77671472793048,0.917866925780761
1981,1988,0.1,-0.211269393863793,0.00173984558281694,0.80955594809785,0.746005470374138,0.878520143789189
1981,1989,0.1,-0.227627803052075,0.0016843090790755,0.796420630005748,0.734867269978788,0.863129772968473
1981,1990,0.1,-0.17847651099637,0.00164691741993345,0.836543706224772,0.772582700027288,0.905799951771583
1981,1991,0.1,-0.187997155796775,0.00155793671887461,0.828617063984654,0.766931093867404,0.895264573593175
1981,1992,0.1,-0.190755892223257,0.00154103020947778,0.826334278156631,0.765140229546538,0.89242247746053
1981,1993,0.1,-0.207274017172922,0.00149469865198909,0.812796899161721,0.753482989106763,0.876779978895186
1982,1983,0.1,-0.0527694199904492,0.00170746751648946,0.948598715167899,0.874801654272796,1.02862119432799
1982,1984,0.1,-0.0463521008097823,0.00160579063769634,0.954705750336158,0.882591864290057,1.03271184179575
1982,1985,0.1,-0.099283109609399,0.00158881248795919,0.905486319853954,0.837438794473472,0.979063163604883
1982,1986,0.1,-0.145732960712963,0.00154399983002963,0.864388498055866,0.80031704666522,0.933589355224397
1982,1987,0.1,-0.257705184064786,0.00155244228414816,0.772823039071736,0.715388296512816,0.834868913331983
1982,1988,0.1,-0.296870063699465,0.00149994350356916,0.743140567024883,0.688818331278589,0.801746813754158
1982,1989,0.1,-0.317518283890363,0.00144792808072034,0.727953370833011,0.675637798358056,0.784319810695838
1982,1990,0.1,-0.268161375299616,0.00135763426860236,0.764784353839834,0.711501052238744,0.822057966095531
1982,1991,0.1,-0.274986595444455,0.00132599579911828,0.759582305019926,0.707259833233732,0.815775548091547
1982,1992,0.1,-0.281993710573248,0.00127231373940423,0.754278428497097,0.703347175964094,0.808897749416846
1982,1993,0.1,-0.300861990479961,0.00122873593109969,0.740179917573233,0.691034689595492,0.792820271728211
1983,1984,0.1,0.00662175758031267,0.00158561002076937,1.0066437298887,0.931067541083673,1.08835455454156
1983,1985,0.1,-0.0480849819151647,0.00154162161945317,0.953052791384504,0.882461596764721,1.0292908229614
1983,1986,0.1,-0.0931265319897155,0.00151936721306184,0.911078212463485,0.844066422263264,0.983410176417092
1983,1987,0.1,-0.204600278712896,0.00150327664283347,0.814973013374935,0.755336282828679,0.879318295212977
1983,1988,0.1,-0.244427739305504,0.00144526990837876,0.783152577469901,0.726919807788776,0.843735379096954
1983,1989,0.1,-0.265102517915751,0.00140375731763172,0.767127301652412,0.712813119407268,0.825580058669318
1983,1990,0.1,-0.212822485455228,0.00131796990822057,0.808299609419116,0.752784158549263,0.867909149212443
1983,1991,0.1,-0.223605053244146,0.00128852019008306,0.79963088363656,0.745306415831177,0.857914995072605
1983,1992,0.1,-0.232636315493931,0.00123395996256164,0.792441719899443,0.73971857274164,0.848922688408034
1983,1993,0.1,-0.247325324274434,0.00120340597730639,0.780886610833898,0.729557747383286,0.835826774736848
1984,1985,0.1,-0.0563315884642466,0.00146459600744379,0.94522565799614,0.876920018515409,1.01885180594556
1984,1986,0.1,-0.100078971359682,0.00141804141446646,0.90476596461619,0.840393435813156,0.974069305926688
1984,1987,0.1,-0.212826558354548,0.00142631304205485,0.80829631730289,0.750626073911991,0.870397337998704
1984,1988,0.1,-0.253252003781427,0.00135794901802234,0.776272233634439,0.7221825145329,0.83441314153328
1984,1989,0.1,-0.265838289441744,0.00133594225387736,0.766563078822045,0.713569072363456,0.823492744531156
1984,1990,0.1,-0.214521777460303,0.0012432438068733,0.806927238714645,0.753045636882491,0.86466415405478
1984,1991,0.1,-0.227126497716156,0.00120431212862382,0.796819980006987,0.74442473925405,0.852902982744176
1984,1992,0.1,-0.233637877993537,0.0011740119966056,0.791648437317025,0.740230387671258,0.846638099089783
1984,1993,0.1,-0.245583721328528,0.00110938553817372,0.782247790228709,0.732812723057052,0.835017714710254
1985,1986,0.1,-0.0437605053217771,0.00138774630519428,0.957183170299696,0.88978626286913,1.02968506003979
1985,1987,0.1,-0.155890505268754,0.00138712131917644,0.855652874723511,0.795417968392379,0.920449211755101
1985,1988,0.1,-0.195377040982159,0.00133151770208429,0.822524474148088,0.765752657838715,0.883505272423206
1985,1989,0.1,-0.213464650053981,0.00128208654622552,0.807780714650518,0.75303499112647,0.866506458066721
1985,1990,0.1,-0.163427216301446,0.00119126317770042,0.849228306729339,0.793680138420171,0.908664186035844
1985,1991,0.1,-0.169552195089384,0.00116124697317595,0.844042698446529,0.789510589189455,0.902341382820827
1985,1992,0.1,-0.176287142145203,0.00112436463421381,0.838377215339307,0.785050080578895,0.895326772887903
1985,1993,0.1,-0.189561127718783,0.00108466862265263,0.827322143036438,0.775605561830181,0.882487132690607
1986,1987,0.1,-0.111016233755129,0.00133379964246658,0.894924220830449,0.833104234514697,0.961331521133754
1986,1988,0.1,-0.150924402002981,0.00129770978405197,0.859912703880067,0.801292176807096,0.922821761770854
1986,1989,0.1,-0.170463300728829,0.00124699423406228,0.843274036603285,0.786883456144266,0.903705746075342
