year,fit,lower,higher,tau,region
1990,25.8869047619047,24.7382102366482,27.0355992871612,0.25,East Midlands
1991,25.3999999999999,24.3907076054519,26.409292394548,0.25,East Midlands
1992,24.9678571428571,24.0874178048207,25.8482964808935,0.25,East Midlands
1993,24.5904761904761,23.8279416735978,25.3530107073545,0.25,East Midlands
1994,24.2678571428571,23.6117359995881,24.9239782861261,0.25,East Midlands
1995,24,23.4380715504403,24.5619284495596,0.25,East Midlands
1996,23.7869047619047,23.3060084551313,24.2678010686781,0.25,East Midlands
1997,23.6285714285714,23.2144470603554,24.0426957967873,0.25,East Midlands
1998,23.525,23.1623675090107,23.8876324909893,0.25,East Midlands
1999,23.4761904761904,23.1493704717418,23.8030104806391,0.25,East Midlands
2000,23.4821428571428,23.1763969529776,23.7878887613081,0.25,East Midlands
2001,23.5428571428571,23.2460757960393,23.8396384896749,0.25,East Midlands
2002,23.6583333333333,23.3622070295716,23.954459637095,0.25,East Midlands
2003,23.8285714285714,23.5287154851115,24.1284273720313,0.25,East Midlands
2004,24.0535714285714,23.7488416133679,24.3583012437749,0.25,East Midlands
2005,24.3333333333333,24.0248563816785,24.6418102849881,0.25,East Midlands
2006,24.6678571428571,24.3581013632905,24.9776129224237,0.25,East Midlands
2007,25.0571428571429,24.7491032911286,25.3651824231571,0.25,East Midlands
2008,25.5011904761905,25.1976315463549,25.804749406026,0.25,East Midlands
2009,26,25.7026569008301,26.2973430991699,0.25,East Midlands
2010,26.5535714285714,26.2622247082865,26.8449181488564,0.25,East Midlands
2011,27.1619047619048,26.8733352182635,27.4504743055461,0.25,East Midlands
2012,27.825,27.5320661603128,28.1179338396872,0.25,East Midlands
2013,28.5428571428572,28.2342475157115,28.8514667700028,0.25,East Midlands
2014,29.3154761904762,28.9766261614223,29.6543262195301,0.25,East Midlands
2015,30.1428571428572,29.7577324364933,30.527981849221,0.25,East Midlands
2016,31.025,30.5777506239481,31.472249376052,0.25,East Midlands
2017,31.9619047619048,31.4377351577944,32.4860743660151,0.25,East Midlands
2018,32.9535714285715,32.3389150927923,33.5682277643507,0.25,East Midlands
2019,34,33.2823590692032,34.7176409307968,0.25,East Midlands
1990,30.1923076923076,28.3990617725623,31.985553612053,0.5,East Midlands
1991,29.6923076923076,28.0923971199663,31.2922182646489,0.5,East Midlands
1992,29.2499999999999,27.8307478515105,30.6692521484894,0.5,East Midlands
1993,28.8653846153846,27.6138154395734,30.1169537911957,0.5,East Midlands
1994,28.5384615384615,27.441211288385,29.635711788538,0.5,East Midlands
1995,28.2692307692307,27.3124314803445,29.226030058117,0.5,East Midlands
1996,28.0576923076923,27.2268326107076,28.8885520046769,0.5,East Midlands
1997,27.9038461538461,27.183623165493,28.6240691421992,0.5,East Midlands
1998,27.8076923076923,27.1819039716424,28.4334806437421,0.5,East Midlands
1999,27.7692307692307,27.2208187397146,28.3176427987468,0.5,East Midlands
2000,27.7884615384615,27.2998864842491,28.2770365926739,0.5,East Midlands
2001,27.8653846153846,27.4195114680815,28.3112577626877,0.5,East Midlands
2002,28,27.581452550008,28.418547449992,0.5,East Midlands
2003,28.1923076923077,27.7888609033163,28.595754481299,0.5,East Midlands
2004,28.4423076923077,28.0457180432076,28.8388973414078,0.5,East Midlands
2005,28.75,28.3560018039266,29.1439981960734,0.5,East Midlands
2006,29.1153846153846,28.7230511675388,29.5077180632304,0.5,East Midlands
2007,29.5384615384615,29.1492947435099,29.9276283334132,0.5,East Midlands
2008,30.0192307692308,29.6362203565127,30.4022411819488,0.5,East Midlands
2009,30.5576923076923,30.1844059048638,30.9309787105208,0.5,East Midlands
2010,31.1538461538462,30.7934869162454,31.5142053914469,0.5,East Midlands
2011,31.8076923076923,31.4619932469572,32.1533913684275,0.5,East Midlands
2012,32.5192307692308,32.1870490416619,32.8514124967997,0.5,East Midlands
2013,33.2884615384615,32.9640911028003,33.6128319741227,0.5,East Midlands
2014,34.1153846153846,33.7871146956601,34.4436545351092,0.5,East Midlands
2015,35,34.6501279031786,35.3498720968214,0.5,East Midlands
2016,35.9423076923077,35.5493863847131,36.3352289999023,0.5,East Midlands
2017,36.9423076923077,36.4843708703529,37.4002445142625,0.5,East Midlands
2018,38,37.456700409732,38.5432995902681,0.5,East Midlands
2019,39.1153846153847,38.4685529881047,39.7622162426646,0.5,East Midlands
1990,34.6565656565656,31.9336859808576,37.3794453322736,0.75,East Midlands
1991,34.2727272727272,31.8402894578343,36.7051650876202,0.75,East Midlands
1992,33.9393939393939,31.7792142299914,36.0995736487963,0.75,East Midlands
1993,33.6565656565656,31.7501598939289,35.5629714192023,0.75,East Midlands
1994,33.4242424242424,31.7527328804523,35.0957519680325,0.75,East Midlands
1995,33.2424242424242,31.7864158847284,34.69843260012,0.75,East Midlands
1996,33.1111111111111,31.8505313653263,34.3716908568959,0.75,East Midlands
1997,33.030303030303,31.9442061799861,34.1163998806199,0.75,East Midlands
1998,33,32.0663595873025,33.9336404126975,0.75,East Midlands
1999,33.020202020202,32.2157681572675,33.8246358831365,0.75,East Midlands
2000,33.0909090909091,32.3913073900047,33.7905107918134,0.75,East Midlands
2001,33.2121212121212,32.5924858697262,33.8317565545162,0.75,East Midlands
2002,33.3838383838384,32.8202453975816,33.9474313700951,0.75,East Midlands
2003,33.6060606060606,33.0776229886778,34.1344982234434,0.75,East Midlands
2004,33.8787878787879,33.3696299941464,34.3879457634293,0.75,East Midlands
2005,34.2020202020202,33.7022013382589,34.7018390657815,0.75,East Midlands
2006,34.5757575757576,34.080881016057,35.0706341354581,0.75,East Midlands
2007,35,34.5099509486328,35.4900490513672,0.75,East Midlands
2008,35.4747474747475,34.9921101429569,35.9573848065381,0.75,East Midlands
2009,36,35.5284190368816,36.4715809631184,0.75,East Midlands
2010,36.5757575757576,36.1182199698451,37.03329518167,0.75,East Midlands
2011,37.2020202020202,36.7588863144028,37.6451540896376,0.75,East Midlands
2012,37.8787878787879,37.4454614962001,38.3121142613756,0.75,East Midlands
2013,38.6060606060606,38.1706473264239,39.0414738856973,0.75,East Midlands
2014,39.3838383838384,38.9260526193602,39.8416241483166,0.75,East Midlands
2015,40.2121212121212,39.7049607074786,40.7192817167639,0.75,East Midlands
2016,41.0909090909091,40.5046182588807,41.6771999229375,0.75,East Midlands
2017,42.020202020202,41.3258727619075,42.7145312784965,0.75,East Midlands
2018,43,42.171169700483,43.828830299517,0.75,East Midlands
2019,44.0303030303031,43.0430110503062,45.0175950103,0.75,East Midlands
1990,27.2999999999999,26.4117106529951,28.1882893470047,0.25,East of England
1991,26.9089285714285,26.1361308940397,27.6817262488173,0.25,East of England
1992,26.5619047619047,25.8928881090141,27.2309214147953,0.25,East of England
1993,26.2589285714285,25.6810606643989,26.8367964784581,0.25,East of England
1994,26,25.4994961135418,26.5005038864582,0.25,East of England
1995,25.785119047619,25.3469215423598,26.2233165528782,0.25,East of England
1996,25.6142857142857,25.2222947894165,26.0062766391548,0.25,East of England
1997,25.4875,25.1254475378988,25.8495524621011,0.25,East of England
1998,25.4047619047619,25.0577428460634,25.7517809634603,0.25,East of England
1999,25.3660714285714,25.0221542780176,25.7099885791253,0.25,East of England
2000,25.3714285714286,25.0225371240164,25.7203200188408,0.25,East of England
2001,25.4208333333333,25.062635935872,25.7790307307947,0.25,East of England
2002,25.5142857142857,25.1454559822535,25.883115446318,0.25,East of England
2003,25.6517857142857,25.2731002031785,26.0304712253929,0.25,East of England
2004,25.8333333333333,25.4468538114416,26.2198128552251,0.25,East of England
2005,26.0589285714286,25.6673203263287,26.4505368165285,0.25,East of England
2006,26.3285714285715,25.934519956867,26.7226229002759,0.25,East of England
2007,26.6422619047619,26.2479287543737,27.0365950551502,0.25,East of England
2008,27,26.606466859886,27.393533140114,0.25,East of England
2009,27.4017857142858,27.0084636031566,27.7951078254149,0.25,East of England
2010,27.8476190476191,27.4516536038551,28.2435844913831,0.25,East of England
2011,28.3375,27.9332883588987,28.7417116411014,0.25,East of England
2012,28.8714285714286,28.4504431439576,29.2924139988996,0.25,East of England
2013,29.4494047619048,29.0004989966253,29.8983105271843,0.25,East of England
2014,30.0714285714286,29.5816079339276,30.5612492089296,0.25,East of England
2015,30.7375000000001,30.1928917888309,31.2821082111692,0.25,East of England
2016,31.4476190476191,30.8343041120071,32.0609339832311,0.25,East of England
2017,32.2017857142858,31.5063114995585,32.8972599290131,0.25,East of England
2018,33.0000000000001,32.209591275019,33.7904087249811,0.25,East of England
2019,33.842261904762,32.9448368270369,34.7396869824871,0.25,East of England
1990,30.3,29.3741067460167,31.2258932539833,0.5,East of England
1991,30.1333333333333,29.3241092217006,30.942557444966,0.5,East of England
1992,30,29.2952212752386,30.7047787247613,0.5,East of England
1993,29.9,29.2864196552747,30.5135803447252,0.5,East of England
1994,29.8333333333333,29.2964857374023,30.3701809292644,0.5,East of England
1995,29.8,29.324175637184,30.275824362816,0.5,East of England
1996,29.8,29.3686329735889,30.2313670264111,0.5,East of England
1997,29.8333333333333,29.4300200789503,30.2366465877164,0.5,East of England
1998,29.9,29.5100318388653,30.2899681611347,0.5,East of England
1999,30,29.6118037137715,30.3881962862285,0.5,East of England
2000,30.1333333333333,29.7391668777513,30.5274997889153,0.5,East of England
2001,30.3,29.8957801591065,30.7042198408935,0.5,East of England
2002,30.5,30.0846137148607,30.9153862851393,0.5,East of England
2003,30.7333333333333,30.307824975905,31.1588416907617,0.5,East of England
2004,31,30.5668414456354,31.4331585543646,0.5,East of England
2005,31.3,30.8624905734191,31.7375094265809,0.5,East of England
2006,31.6333333333334,31.1951009379999,32.0715657286668,0.5,East of England
2007,32,31.5645514209525,32.4354485790476,0.5,East of England
2008,32.4,31.9702655687609,32.8297344312392,0.5,East of England
2009,32.8333333333334,32.4111557383605,33.2555109283062,0.5,East of England
2010,33.3,32.8855319297521,33.714468070248,0.5,East of England
